,0
925,paling kamoooh pake buat vibrator cewek
926,jadi ingat masa pacaran dulu pelit kata kata karna ingin murahnya
927,dengan kondisi yang demikian investor tentu bertanya tanya mengapa hingga detik ini perusahaan masih betah melantai di bei toh sudah beberapa tahun saham perusahaan tidak disentuh pasar masih berharap ada investor atau diakusisi
928,jadi monumen di bei itu moga saja ada investor yang mau kerjasama
929,dikira dah ancur dari kemaren2
930,kan buat pengingat waktu minum kopi eh waktu sholat tepatnya
931,bangke itu aset berapa masa dari jaman batu usaha kagak jalan masih maen di bei dikira komoditi valas kali itu sahamnya
932,resiko kerja ama penjahat urusan kagak jauh dari ngemplang ama janji kosong
933,saya sebagai alumni esia turut berduka mari viralkan gerakan saveesia
934,nelpon 1 jam rp1 gan
935,kantor ane msh pake ceria
936,waduh esia oh esia
937,punya bakrie grup yak gak masalah utang 16t juga
938,contoh paling real bisnis yang kebantai teknologi baru mulai sesak napas nya pas bbm mulai trending dan mati total saat jaman smartphone
939,kasian banget yg 1 org itu ngapain ya
940,minimnya inovasi ya gini deh apalagi perusahaan dg basis teknologi informasi yg daya saingnya makin lama makin ketat dibutuhkan gebrakan yg bener2 wah disemua lini supaya nih perusahaan bangkit kembali tapi melihat keluarga bakrie lebih tertarik ngurusin wahana tontonan adu jotos manusia ya tinggal nunggu waktu aja nih esia innalilahi tutup usia
941,operator ini yg membuat sebagian masyarakat indonesia menjadi alay dengan dengan sms 1rupiah perhurup kntl
942,bokap ane pernah jadi korban esia hidayah juga wkwkw
943,untuk smart dan fren bergabung jadi masih eksis sampai sekarang kenapa ya esia ga jadi gsm padahal masih banyak yg favoritin esia
944,ayo pak jokowi selamat esia bersama bapak dagu panjang
945,melongo 17 t itu utang atau nilai saham yang beredar contoh kasus kayak gini ini makanya saat bikin usaha jenis tertentu yang menunjukkan sedang booming perlu ada riset mengenai jumlah pelanggan diperbandingkan dengan jumlah kawan bermain yang ada diperbandingkan dengan kemampuan distribusi jasanya seberapa terkait dengan ketersediaan modal sama kayak rame rame kapan hari perkara jualan akik itu yang bertahan adalah mereka yang sudah punya nama jaringannya memadai dan modal yang kuat itu kalau dialihkan untuk server game apa peralatannya mendukung yah
946,saham btel ini memang dari dulu gak jelas dan mismanajemen
947,hape ecek ecek ini mah
948,1 power bakrie 2 pertimbangan group bakrie masih kuat di sektor lain
949,pdhl gw ada nocan nama gw di nomernya
950,wek ga bakal gua beli nih saham
951,suka atau tidak suka hp esia bakal jadi barang antik dan nilai jual nya bakal tinggi loh gan
952,dulu ane pakai aha sinyal bagus speed ok smartpret saat itu keluarin jg hape setrika maksud ane hape klo di cas bisa bwt nyetrika baju
953,waduh ini era pas ane lagi kuliah irit irit pulsa tp ane dulu pake flexi dulu flexi ditelponnya banyak gratis klo esia di sms nya
954,si semar cukup pintar dg melompat ke jaringan poji tp masih mid level lah
955,lah ane kira udah tutup perusahaan nya masih ada ternyata
956,wuih dr 1 karyawan tinggal 1 orang aja 2 18
957,esiaaapp
958,17t
959,wah padahal punya hp ber hidayah lo
960,jd inget dl jaman2 cdma booming
961,esia fren flexy sama aja nasibnya beruntunh fren bisa dilebur ke smart n ngambil basis gsm
962,lo kalo mau post poto mulus mending disini aja ke trit khusus poto mulus biar ga ngejunk di trit orang kasian yg puny nih trit
963,old ini gan
964,murid gw dulu pas razia hp dapet nya esia segepok
965,doa orang korban lumpur laper ndro ini sih
966,itu sisa 1 orang apaan dah posisinya dewan direksi ya kantornya gimana ya sekarang
967,biarpun bakrie telecom bangkrut biarpun lapindo dituntut pailit tetap aja aburizal bakrie dan keluarga hidupnya mewah dan hedon jeritan pmegang saham dan korban lumpur lapindo ga akan bs bikin mereka jd miskin
968,ane dulu pernah pake dah lama dijual sejak pemakaian jaringan cdma mulai menurun kayak flexi
969,esianya nyungsep huaweinya yg melejit tapi skrg lg bermasalah jg wkwk
970,kirain setop peredaran kartu setop juga perusahaannya
971,ane dulu pengguan esia
972,iyaa yaa dulu kita nganggep hape huawei murahan lah sblah mata macem esia gini skrng udh di seganin huawei
973,belum pernah denger tapi setau ane yang namanya perusahaan pasti akan mempertahankan perusahaannya dan akan selalu memberikan kontribusi terbaik apa lagi perusahaan yang sudah terkenal ini hanya tamparan tetangga yang juga belum tentu bisa berkeluarga misalkan sudah punya pelanggan apa apa lagi strategi saja ikuti alur jika perlu promo diskon besar besaran
974,esia ane hapenya masih ada aje
975,trus sekarang aktivitas nya apa
976,ane sempt pake tuh
977,jaman pacaran telepon rp 1 jam 24 jam 5
978,belum pernah pake kartu cdma
979,ada yang ingat kode esia go go biar bisa di pakai di luar kota
980,1 orang itu direksinya
981,operator penyelamat buat yg dulu gak mampu beli bb esia hadir dengan hape qwerty nya yg gk sampe 5 ribu kenapa gk dijualin aja ya tuh pabriknya atau ikut bikin android harga kaki lima dengan gandeng brand lokal
982,nemen setiap nelpon lama
983,sudah ga ada operasinya masih bertahan di bursa saham ini gila apa bodoh idx disclaimer aja sudah harus keluar semua warning tapi ini masih listing aja
984,esia starone flexi bolt indosat matrix matrix tidak ada lgi sekarang smart penerusnya smartfren akan dikenang di masa depan cdma tersisihkan 4g dan 5g berjaya
985,esia yang terlupakan gak kayak smartfren sih yang udah suport jaringan 4g kalo perusahaan gak ikuti jaman ya begini lah jadinya
986,itu masih aja ada yang jadi karyawan esia kerjaannya ngapain lagi ya
987,perkarakter 1rp murah banget dijamanya
988,kaga pernah pake esia wkwk
989,di sumpahin sama warga lapindo kali ya
990,keinget dulu pernah twitteran via hape esia lucu tampilannya monokrom
991,sukurin doanya orang sidoarjo itu bangkrut sekalian itu kalau perlu bakrie
992,tobat deh pegang cdma era esia mah jempol sampe cantengan gara2 keypad keras apalagi cdma telkom katanya bisa jadi modem download gambar aja semalaman
993,ndak pernah makai saiya
994,kirain gabung sekalian sm smartfren
995,nomernya bisa ditelp melalui tu telephone umum
996,gegara esia dgn rp 1 perkarakter untuk sms jd lahirnya kalimat2 singkatan
997,huss ntar mimin kesinggung
998,jamanya esia ngoceh cuman seribu 2 9 nelpon ampe dower
999,mgkin cdma ga cocok di negeri ini
1000,pantesan gk ada kabarnya ternyata udah di telan jaman
1001,kalo auditor kasih opini disclaimer efeknya apa gan buat perusahaan
1002,murah tarif tlp sesama nya enak buat di pake tlp pacar berlama2an hp jg murah meriah
1003,kasihanxa pank tergerus perkembangan jaman pdhal dl di idola2an smoga bila tdk mampu bangkit lg setidakxa dia ad kesan tersendiri bahwa mrk pernah merajai pasar indonesia ttp semangat esia
1004,idihh pengalaman bgt yg suka pake vibrator nubi aja kga ke pikiran ke sna pdahal
1005,kesian bener dulu kartu sim andalan ini klo mau nelpon bodo amad hp nya jelek terus juga dulu pernah dikasi tiket konser depapepe sama esia krn ane kayaknya pelanggan pertama layanan internet esia aha di bekasi tp error mulu jd mereka minta maaf pake tiket konser
1006,nanti kalau masuk 5g operator mana yg bakal masuk kuburan
1007,karena esia bukan gsm ya trs yg wajib make smartfr n itu kan karyawan2 di group sinarm s gan lagian smartfr n kerjasama dgn pabrikan ponsel bikin hp unlocked kota2 besar di jawa sinyal nya jg cukup stabil makanya mereka msh eksis
1008,esia ngorbit karena campur tangan sby kah
1009,17t mo bayar pake apa gak yakin assetnya nyampen1 t
1010,ga bisa login email yahoo nih gegara nomor esianya udah lama gak aktif
1011,ane masih pake kartu jempol
1012,2 pertimbangan group bakrie masih kuat di sektor lain sektor mana yg masih kuat gan
1013,ane ga pernah pake cdma
1014,pdhal sistem cdma lebih baik dr gsm
1015,jadi inget joke legend soal kuburan yang ada lantunan ayat suci pas di bongkar kuburannya ternyata didalamnya ikut terkubur hape esia yg dulu emang terkenal sama jualan ringtone hidayah nya
1016,coba cek di url dh gan
1017,sebenarnya kalau sudah pada baca dim yang dikirim oleh pemerintah itu banyak sekali yang merevisi draf ruu yang dikirim oleh dpr ke pemerintah sebelumnya
1018,cuma poin penyadapan harus berijin dr dewan pengawas ini doang yg disetujui jokowi yg lain ditolak ketua kpk yg baru firli masih blm kelihatan kinerjanya kalo diberi wewenang bebas sadap menyadap ya ga benar jg bisa dimanfaatkan pihak lawan kecuali yakin ketua kpk dan anak buahnya jujur dan bisa dipercaya 1 kalo belum wajar diawasi penyadapannya
1019,yg percaya ya cm cebong2 dungu yg kena php melulu
1020,trs untungnya buat rakyat apa bingung
1021,bener banger gan wkwkwk
1022,didalem kpk
1023,mahasiswa zaman now keahlian utama generalisasi
1024,nanti pas sidang skripsi thesis kalo penguji d uii nyuruh revisi mahasiswa nya lgs bikin mosi tidak percaya aja
1025,semoga semuanya aman dan lancar aja sih buat gw kgk ngarti politik2an gw
1026,intinya kita semua percayakan kepada presiden joko widodo saja
1027,patut ditiru thumbsup
1028,salahin noh dpr bego
1029,cerdas banget agendanya
1030,semua salah pakde
1031,utamakan keributan ya bre oposisi x pemerintah rakyat x pemerintah akademisi x pemerintah biar lebih afdol ane dukung 1 adanya kementrian baku hantam biar lebih asiik lagi
1032,diujung tombak nih kpk
1033,pgn korupsinya lancar ya ampe kpk mau dibatasin gitu
1034,keliatan kan mau mematikan wewenang kpk
1035,yg ada tuh harusnya dukung
1036,paparin plus minusnya ambil simpulan mana yg lebih berat sisi minus atau plusnya bukan cara2 nyinyir ala politikus kek gini dengan hanya pakai perasaan dan opini satu atau dua kalimat
1037,nah ini dia gan gak ngaruh kalee mosi tidak percaya mereka
1038,ampe muntah jg loe ngomong kaga bkl ngaruh masi banyak rakyat goblok yg pro revisi atopun kontra revisi tp kaga tau peraturan perundang2an let alone substansi ruunye netijen mah ngikut2 doang buat keren2an
1039,duh siapa sih yang nyetir angkotnya pak pak turun depan yaa
1040,mosi gak percaya sama dpr juga gak ini uii kebanyakan nasbung jadi gak heran
1041,kenapa ga boleh direvisi emang kalo revisi udah pasti jelek isi revisinya aja belum ketahuan koq udah ditolak aja
1042,makin santer az beritanya neh
1043,pemain belakang dah gerah ajah ditambah ketua baru kpk nya
1044,ya mau gmn lg sistem negara kita kek gitu wakil di dpr dipilih lewat pileg maju lewat parpol era digital kek skrg gampang kok nyari rekam jejak caleg kl mau usaha nyari lho ya kl mayoritas kita aktif milih dan milah dan gak apatis mayoritas kita apatis saat pileg lambat laun yg blangsak akan jadi minoritas di dpr d ato kl memang kuat iman dr godaan maju nyaleg dan merubah dari dalam pilihan cuman 2 pro aktif saat pileg gak hanya pilpres ato sekalian nyebur masup politik praktis
1045,isi komentar disini bakal beda kalau uii gk bilang ambil tindakan mosi tidak percaya ke jokowi
1046,seharusnya lembaga negara yg di bubarin itu dpr biarkata namanya perwakilan rakyat apa bener ini keinginan rakyat ini cuma keingan elit politik biar urusanya lancar
1047,mendadak cebi cebi jadi garda pertama pembela dpr
1048,bener gan gaada rev uu kpk aja cuma bisa nangkep ikan kecil gimana kalo ada revisi uu kpk gaakan dapet apa2 mungkin kpk tapi ya kembali lagi kita bisa berpendapat dan mengusulkan ke pemerintah w
1049,pada prinsipnya penyadapan itu perbuatan melanggar hukum bisa di cek di uu ite kalo aparat dikasih kewenangan melakukan perbuatan melanggar hukum demi kepentingan penegakkan hukum ya musti jelas parameternya saya melihat penyadapan ini diskresi yang hanya dimiliki kpk ada positifnya supaya tidak menggunakan diskresi secara serampangan menembak orang itu perbuatan melanggar hukum apakah polisi boleh nembak orang boleh tapi dengan prosedur dan syarat ketat mungkin ini analoginya
1050,itu mereka akan yudicial review ke mk jga bre di beritanya ini langkah ngambil sikap aja bre biar publik bsa tau
1051,kenapa gak tanya ke partai yg ente dukung di dpr knp kok ruu revisinya bs lolos partai2 oposisi itu wakil ente juga toh
1052,masa iya sih setiap revisi selalu berbentuk pelemahan kpk terlalu cepat memutuskan
1053,demokrasi telah diambil alih venom dari superman
1054,jangan cuman ke jokowi tapi ke dpr bangsad bangsad juga wacana juga dari mereka dua poin yang dikritisi penyadapan ijin dari dewan pengawas dewan pengawas dipilih oleh presiden status pns ke staf kpk yang otomatis beberin identitas staf kpk ke publik dan terdaftar di bkn setau saya sama kayak bin staf kpk seharusnya dijaga kerahasiaannya dewan pengawas biarpun dibuat oleh presiden tetep memunculkan celah suap oleh politisi bajingan dpr anjing
1055,ketua kpk yg baru firli masih blm kelihatan kinerjanya kalo diberi wewenang bebas sadap menyadap ya ga benar jg bisa dimanfaatkan pihak lawan kecuali yakin ketua kpk dan anak buahnya jujur dan bisa dipercaya 1 kalo belum wajar diawasi penyadapannya bukannya point ini ya yg kontroversial masa mau nyadap harus nanya dewan dulu kemungkinan besar komplotannya pula cmiiw
1056,yang mengesahkan jokowi mu sayangkuh
1057,kasus mega korupsi mana di indon yg tuntas kasus nya
1058,trs mosi dr dia apa kuasanya
1059,ruu nya sudah jadi
1060,makanya besok2 lagi kalo pileg pilih yg bener biar politikus2 minim blangsak jadi mayoritaz
1061,tak pikir ui ternyata uiiiiii
1062,eksekutif legislatif yudikatif berselingkuh rakyat di maduh
1063,ke dpr dong yg ngajuin revisi kan dpr gimana sih toh juga presiden jokowi dah dolak 4 poin dari revisi
1064,biar dikenal lebih luas maka coba2 jadi kampus sjw
1065,dah jelas2 kpk tumpul gak mampu hajar korupsi kakap cuma nangkep ikan2 kecil mahasiswa itu harusnya kritis dan sadar kpk skrg dah lemah oleh ulah orang dalemnya sendiri yg ada tuh harusnya dukung emang klo udh revisi bakal mampu berantas korupsi kelas kakap
1066,salah satu efek demokrasi yg kebablasan seperti tak tau aturan padahal para pemegang titel akademis presiden dihujat pejabat dihujat oposisi dihujat rakyat dihujat agama dihujat sungguh memalukan
1067,kok jokowi lah yang pembuat undang undang alias legislatif kok didiemin aja
1068,nah ini yg orang2 pada missed atau memang sengaja difokuskan ke ruu kpk
1069,kemaren milih jokui ga klo ga milih ya ga usah repot laah
1070,emang udah tau isi revisinya itu apa
1071,yang bikin undang2 kan dpr ri terus jika pemerintah presiden menolak menandatanganinya maka dalam waktu 3 hari ruu tersebut secara sah resmi menjadi uu meskipun tidak ada tanda tangan presiden kalo lo lo semua menolak silakan demo di dpr jangan di depan istana negara sok sok an pada demo tapi gak tau aturan perundang undangan yang lebih penting itu revisi undang undang md3 mpr dpr dpd dan dprd itu yang bikin ruwet negara karena kewenangannya melebihi institusi manapun di republik ini goblok emang gratis tapi kok lo borong semua
1072,si cungkring udah ngibul terus masih saja dipercaya lu nya saja yg goblok cuk pendukungnya sendiri saja dilepeh dengan memilih maaruf jadi cawapres
1073,toh juga presiden jokowi dah dolak 4 poin dari revisi betulll gan
1074,mungkin takut nasib koruptor makin dibikin susah gan
1075,kampret2 jg pura2 gak punya wakil di dpr
1076,klo urusan kpk partai bersatu yg sblm nya baku hantam di pilpres skalipun bingung org dungu kek ane gmn milih yg bnr calon nya
1077,waduhh makin rame aja nih kasus revisi uu kpk ini yak nggak pernah damai dikit keknya ni indonesia ada aja ya yang rame
1078,isiny aja lum tau udah kebakaran jenggot dan lagi isiny menguatkan apa melemahkan belum tau trnyta bener kpk udah kek dewa aja g boleh dikritik
1079,ke presiden salah sasaran pak bosss piye toh
1080,sekalian bikin mosi tdk percaya juga untuk listrik dan bpjs yg naik januari 2 2 nanti biar para cebong sadar bahwa junjungannya bikin rakyat sengsara
1081,buat apa bikin mosi tidak percaya kalau pas pemilu aja masi nyoblos
1082,banyak yg ngmng mahasiswa dosen uii goblok dsb hey kalian ketahuilah civitaa akademika dalam mengambil keputusan tidak hanya terbawa emosi sesaat sperti kalian semua sudah dikaji dan dipertimbangkan secara matang untuk mengambil keputusan mebolak ruu kpk dose dan staff pengajar ilmu hukumnitu lebih concern dan mengijuti perkembangan hukum dan sudah pasti ruu ini untuk memperlemah kpk efeknya apa kalo kpk semakin lemah kpk akan sangat mudah dimasuki politik yg berimbas pada penanganan kasus korupsi yang mungkin kedepan akan menimbulkan ketidakpuasan dan krtidak adilan bagi masyarakat kalo kalian tidak mendukung setidaknya jangan menggoblok2an org yg sedang berjuang untuk melindungi negara ini ini sudah bukan sentimen tentang pak jokowi lagi sudah bukan zamannya kubu ini ono uii berenxana mengirim mosi tidak percaya kepada jokowi karena kedudukannya sebagai presiden ri
1083,downgrade akreditasinya aja
1084,masih ada aja yg mikir semua salah jokowi tolong dong digaris bawahi mosi tidak percaya itu ditujukan kepada pemimpin suatu negara di indonesia itu tampu kepemimpinan disebut presiden jadi mosi tidak percaya ini ditujukan kepada pak jokowi dalam kapasitasnya sebagai presiden bukan sebagai pribadi itupun kalo presiden menyetujui ruu kpk
1085,pernah baca uud 45 ga pasal 2 ayat 5 uud tahun 1945 berbunyi dalam hal suatu ruu yang telah disetujui bersama oleh dpr dan presiden tidak disahkan oleh presiden dalam waktu 3 hari sejak ruu disetujui ruu tersebut sah otomatis menjadi uu dan wajib diundangkan
1086,ketua kpk yg baru firli masih blm kelihatan kinerjanya kalo diberi wewenang bebas sadap menyadap ya ga benar jg bisa dimanfaatkan pihak lawan kecuali yakin ketua kpk dan anak buahnya jujur dan bisa dipercaya 1 kalo belum wajar diawasi penyadapannya makanya dr awal pansel kpk itu banyak yg protes trnyata kan ini masalahnya takutnya ketua kpk ga berintegritas ga jujur dan memanfaatkan juga dg adanya aturan penyadapan harus minta ijin sama aja matiin taji kpk dmn hampir semua kasus terkuak setelah ada penyadapan kalo minta ijin bos ati2 lu lagi d sadap seminggu well itu yg d takutkan seluruh org yg g setuju dg revisi uu kpk trmasuk gw kita rakyat biasa cm bisa protes ga jelas kek gini dan berharap cemas
1087,rip kpk
1088,tau isi revisinya aja belom main mosi ajee
1089,baiklah kita bubarkan saja uii
1090,dpr ini gimana sih kan wakil rakyat jadi kalo ruu nya diributin rakyat harusnya cari tau dong apa maunya rakyat bukan malah sebaliknya
1091,yg percaya ya cm cebong2 dungu yg kena php melulu bacot
1092,setuju ama thumbnailnya
1093,trus apa efeknya kalo uii mengeluarkan mosi tidak percaya
1094,yg percaya ya cm cebong2 dungu yg kena php melulu mending percaya oposisi ya bray
1095,wakil rakyatmu siapa di dpr kerjanya ngapain kalian akan selalu seperti itu menyalahkan eksekutif apa yang menurut kalian salah dan kan mencari pembenaran pada legislatif hanya karena partai junjungan kalian ada di situ end
1096,baca isinya dulu jgn2 ga bisa baca
1097,ciri ciri akhir zaman
1098,boleh juga sih tapi apakah kek gitu aman spoiler for mampir gan mohon bantuannya untuk diramaikan
1099,ujung2nya pasti ke situ juga
1100,golongan taliban mungkin gan
1101,wah pinter juga si agan salute
1102,jangan ganggu kpk
1103,mungkin persepinya revisi itu ganti judul alias ngerubah semua isi
1104,didalem kpk
1105,trus gw harus bijimaen ap hrus gruk2 kwontol gtu
1106,bikin sarang
1107,kadal gurun taliban
1108,memang revisinya belum tuntas kita liat aja nanti finalnya gimana tapi menurut gw harusnya ditolak aja sekalian tutur ernest kata ernest sih di tolak aje sklian tp gmn ye klo gk slh semua partai ngedkg revisi ah sdh lah
1109,segala kekurangan yg terjadi dunia ini adalah salah jokowi bre
1110,mereka akan selalu mengaitkan ini dengan pemilu tidak bisa move on dan akan seperti itulah mereka
1111,sebenernya merugikan banget sih tapi agan2 mungkin kalopun jokowi setujuin yang harus kalian tau 1 jokowi akan mengajukan bbrp poin yg menurut dia tdk masuk akal dia akan ttp melawan poin2 tsb 2 bisa jadi ada kepentingan politik dibelakang layar yang membuat ruu tsb disahkan siapa tau ruu kpk disahkan untuk menyelamatkan keputusan politik lain dan menyelamatkan hak2 warga lainnya semoga no 2 ini pada ngerti ga ya maksut ane
1112,coli terus bos
1113,mosi enggak percaya buat apa kalau emang enggak setuju ya monggo turun ke jalan
1114,mosi tidak percaya percaya mah buodoo amatt
1115,kalo tdk setuju ya beda lg
1116,lalu kenapa pakdemu tidak menolaknya saja sedangkan dia tau kalau dia tidak mengesahkan uud tersebut itu akan menjadi uu sedangkan dia tau uu tersebut dapat merugikan melemahkan yang sekarang kita sebut kpk apakah itu bukan sebuah pengesahan yang secara tidak langsung tapi whatever kalian akan selalu seperti itu membenarkan apa yang menurut kalian benar dan kan mencari pembenaran end
1117,setujuuu cebong pasti percaya dan mendukung raja kodok itu mutlak absolute tidak bisa di ganggu gugat yg gak setuju tak masuke penjara kabeh koe ahahah
1118,enggak gitu dong gan apa mereka bakal tau apa yang akan kejadian hari ini jangan di sangkut pautkan ya gan hehe udah lama kok pemilunya
1119,tunggu saja pendapat presiden melemahkan yg dimaksud itu seperti apa revisi juga belum keluar kok ini udah mendahului aja sabar netijen
1120,kan memang kerjaan pemerintah dan dpr bikin uu secara formal gak ada yang salah dengan revisi uu ini karena dilakukan oleh lembaga negara yang berwenang melakukannya tinggal nanti secara materiil kalau ada bunyi pasal atau ayat yang bertentangan dengan uud 45 ya di ajukan aja uji materiil ke mk gitu aja kok repot
1121,mungkin dia survei ke anaknya sendiri yang gak lolos seleksi jadinya ada sakit hati dan juga iri orang keluar duit masa gak boleh nempel logo perusahaan dia yang sekelas sponsor 17 agustus aja selalu disebut kok siapa yang nyumbang
1122,kpai bicara ketulusan coba cek ketulusan kpai ini berani sumbangkan gaji mereka ke anak anak peserta audisi tanpa embel embel diketahui publik preettt laahh
1123,anak nya sendiri yg gak lolos pra seleksi karna memang gak bisa main bulu tangkis bisa nya main bulu ayam
1124,klo memang mau begitu kpai juga harus adil untuk pihak2 lain sangat disayangkan anak2 yang memang berniat di bidang bulutangkis kalau memang tujuannya untuk kebaikan anak2 cari juga dong sponsor pengganti yang setimpal lembaga pemerintah kaya gini kerjanya cuma berat sebelah yang benar2 membutuhkan kehadiran kpai bahkan ga dilirik sama sekali
1125,ane rasa ada survey beneran tapi pake pertanyaan jebakan
1126,kpai mungkin survey dgn bbrp orang yg gagal lolos audisi jd nya gitu dah aneh emang
1127,muiinnyakkkkk dulu gan
1128,niatnya kpai minta cipratan ke djarum tp di tolak mentah2
1129,mungkin niatnya baik kpai cuman kurang main cantik n elegan aja
1130,ibarat pengemis minta minta ga selalu ane turutin kok permintaannya
1131,kpai kok disamain ama pengemis gan
1132,ini lembaga negara pasti punya power dan ego kalo misal suratnya diabaikan
1133,pb djarum ngga bisa dipungkiri udah nelurin banyak banget anak muda berprestasi di bidang olahraga dan disisi lain ternyata banyak juga orang tua yang menggantungkan harapan mereka ke audisi ini harapannya sih pb djarum ngga berhenti
1134,kpai komisi pelemahan anak indonesia
1135,liat tuh kegoblokan djarum n para pendukuingnya debat di st tv di yutub dh banyak beredar ko federasi badminton sedunia aja melarang csr produk rokok membiayai olahraga atauran dh jelas ko melarang olahraga dilarang di biayai csr produk tembakau goblok n dongo semua tuh orang
1136,mungkin pb djarum gak pernah kasih komisi ke kpai makanya gak ada perlindungan
1137,sementara bocah2 bibit radikal dibiarkan begitu saja
1138,semoga ada kejelasan dari kpai sebagai standar eksploitasi anak itu seperti apa dan kesalahan pb djarum dimananya
1139,mungkin pembiayaan pb djarum dari hasil penjualan rokok yg disalurkan kembali kpd masyarakat jika dihentikan ya merugikan juga imho
1140,nah itu kalo pemain badminton asal pb djarum yg jadi juara dunia atau juara apapun kan dianggap kebanggaan bangsa indonesia kpai lembaga dr negara mana
1141,kalo pengen liat eksploitasi anak tuh liat ig nya gisel isi nya gempi mulu keliatan banget tuh si gisel eksploitasi keimutan gempi biar banyak yg endorse
1142,menurut ane orang yg berolah raga sejak kebanyakan tidak merokok kalau exploitasi anak yg dituduhkan oleh kpai berdasarkan apa
1143,golek duit golek duit
1144,hasil nya
1145,ada 2 komisi perlindungan anak dan dengan satu kementrian perlindungan anak komisi perlindungan anak indonesia kpai komisi nasional perlindungan anak indonesia komnas pa kementian pemberdayaagunaan perempuan dan perlindungan anak pppa kementrian pppa pemberdayaan perempuan dan perlindungan anak dengan mentri yohana susana yambise
1146,karena antara kalimat komisi nasional perlindungan anak dan komisi perlindungan anak nasional hampir mirip mirip cuma beda letak kata nasional
1147,jangan dong kan fungsinya bagus melindungi anak anak di nkri dari eksploitasi itu kan misi organisasi kpai
1148,masalahnya kan di pengurusnya yang terkesan berlawanan dan mengancam keberlangsungan bulutangkis nkri
1149,ya semoga saja di copot dan dibersihkan organisasi nya
1150,sudah ada komnas pa komisi nasional perlindungan anak dari mensos ada kementrian pppa lagi kebanyakan komisi komisi sejenis perlu perampingan komisi komisi lembaga lembaga negara agar tidak buang buang dana apbn
1151,ketua umum komisi nasional perlindungan anak saat ini adalah arist merdeka sirait sedangkan seto mulyadi sebagai ketua dewan konsultatif nasional
1152,seperti di ketahui ada data dana 1 milyar masuk ke komisi pelindungan anak nasional dari bloomberg
1153,tidak di ketahui apakah komisi perlindungan anak indonesia atau komisi nasional perlindungan anak
1154,kemarin kemarin kok kagak diributkeun kemana aja kpai cari gara2 aja apa cari pemasukan
1155,kpai sedang cari sensasi nih kemeren bulu tangkis yg di usik habis itu balap motor yg melibatkan anak dibawah umur juga mulai di usik sama kpai tapi kok sinetron atau acara tipi alay dan gan mendidik tidak mereka usik yah padahal itu dapat merusak mental anak2 penerus bangsa lho
1156,mngkin kpai ini dr univers lain gan
1157,mana riset apa kajian ilmiah bahwa omset naik bisa dikorelasikan dengan umbul2 atau spanduk2 audisi rokok skrg aja sebenernya pendapatan djarum dari rokok secara grup ud ga signifikan dibawah 2 persen yg besar malah bca
1158,sudahlah mending ga usah jadi atlet bulutangkis mending jadi atlet jamaah monaslimin aja yg demo2an di monas
1159,ini bagian dari ujian untuk anak anak yang berjuang menggapai cita citanya pb djarum bukan satu satunya wadah pemerintah dalam hal ini menpora harus sadar dan cepat menyelesaikan masalah ini jika kpai menang yasudah bikin agenda dan wadah baru untuk audisi ini menpora punya kuasa dan kekuasaannya inilah yg harusnya digunakan untuk hal2 semacam ini seperti pembinaan atlit2 usia muda semoga mempora sadar
1160,tidak saya cuma pecinta bulu tangkis dan cinta negara ini jgn sampai cabang olahraga terakhir yg masi bisa memberi nama harum negara ini dihancurkan oleh kpai
1161,iy mana kajian ilmiahnya bahwa ada eksploitasi mana bukti2 nya ngemeng aja kalo ada riset mana risetnya di publish dong jgn state the obvious uu aja justru peran pemerintah itu mendorong yg positif dan mereduksi yg negatif justru org kalo makin pendidikan apalagi olahraga ga ada tu yg ngerokok
1162,bubarin aja lembaga ini ga guna
1163,tolol emang kpai ortu anak a ikut audisi krn pngen bs jd atlit berprestasi bkn biar bs dpt rokok gratis
1164,nah ini ane setuju nih ama ts bingung juga itu survey siapa sih emang yang jawabin kalau ke anak anak calon atlit atlitnya ane yakin sih jawabannya nggak akan mengarah ke eksploitasi gitu btw kan audisi juga udah ada drilama kok baru sekarang di hebohin deh
1165,yang atas saya yakin bapak sama anak senengnya setengah mati melebihi kesenangan orang orang kpai yg dapat dana yang bawah pasti orang orang kpai senang setengah mati dapat dana tapi ga perlu ngurusin mereka
1166,pengalihan isu
1167,mending dibalik aja logo djarumnya itu keinginan kpai biar mirip monas
1168,kuhp kasih uang habis perkara
1169,survei n korelasi di lapangan harus di kaji kembali
1170,mungkin survei ke anak2nya komisioner kpai disuruh emaknya beli jarum buat jahit di pasar malah beli rokok djarum
1171,nah gitu bener tuh kpai menegur atas dasar apa mendasar gak alasannya itu harusnya kan survey dulu baru menegur dan eksekusi kalo terbukti ada pelanggaran baru bisa diambil tindakan sayang juga kalo pb djarum diginiin hehe
1172,ketika pb djarum menjadi harapan dari ratusan bahkan ribuan mimpi anak bangsa untuk menggapai cita cita dari mimpinya bukankah seharusnya didukung bukan dihancurkan seperti ini
1173,lagian logo merk rokok atau iklan rokok gak membuat seseorang jadi perokok juga jadi ya sangat bodoh sekali kpai ini ckckckck
1174,politik itu emang kejam
1175,kpai lebih bangga lihat anak di jalanan ketimbang punya prestasi
